pointcloud,timestamp(ms),x(mm),y(mm),z(mm),reflectivity,r(mm),theta(radians),phi(radians)
0,50140.709,0,0,0,0,0.000,0.000,0.000
1,50140.709,0,0,0,0,0.000,0.000,0.000
2,50140.709,0,0,0,0,0.000,0.000,0.000
3,50140.709,0,0,0,0,0.000,0.000,0.000
4,50140.709,0,0,0,0,0.000,0.000,0.000
5,50140.709,0,0,0,0,0.000,0.000,0.000
6,50140.709,0,0,0,0,0.000,0.000,0.000
7,50140.709,0,0,0,0,0.000,0.000,0.000
8,50140.709,0,0,0,0,0.000,0.000,0.000
9,50140.709,0,0,0,0,0.000,0.000,0.000
10,50140.709,0,0,0,0,0.000,0.000,0.000
11,50140.709,0,0,0,0,0.000,0.000,0.000
12,50140.709,0,0,0,0,0.000,0.000,0.000
13,50140.709,0,0,0,0,0.000,0.000,0.000
14,50140.709,0,0,0,0,0.000,0.000,0.000
15,50140.709,0,0,0,0,0.000,0.000,0.000
16,50140.709,0,0,0,0,0.000,0.000,0.000
17,50140.709,0,0,0,0,0.000,0.000,0.000
18,50140.709,0,0,0,0,0.000,0.000,0.000
19,50140.709,0,0,0,0,0.000,0.000,0.000
20,50140.709,0,0,0,0,0.000,0.000,0.000
21,50140.709,0,0,0,0,0.000,0.000,0.000
22,50140.709,0,0,0,0,0.000,0.000,0.000
23,50140.709,0,0,0,0,0.000,0.000,0.000
24,50140.709,0,0,0,0,0.000,0.000,0.000
25,50140.709,0,0,0,0,0.000,0.000,0.000
26,50140.709,0,0,0,0,0.000,0.000,0.000
27,50140.709,0,0,0,0,0.000,0.000,0.000
28,50140.709,0,0,0,0,0.000,0.000,0.000
29,50140.709,0,0,0,0,0.000,0.000,0.000
30,50140.709,0,0,0,0,0.000,0.000,0.000
31,50140.709,0,0,0,0,0.000,0.000,0.000
32,50140.709,0,0,0,0,0.000,0.000,0.000
33,50140.709,0,0,0,0,0.000,0.000,0.000
34,50140.709,0,0,0,0,0.000,0.000,0.000
35,50140.709,0,0,0,0,0.000,0.000,0.000
36,50140.709,0,0,0,0,0.000,0.000,0.000
37,50140.709,0,0,0,0,0.000,0.000,0.000
38,50140.709,0,0,0,0,0.000,0.000,0.000
39,50140.709,0,0,0,0,0.000,0.000,0.000
40,50140.709,0,0,0,0,0.000,0.000,0.000
41,50140.709,0,0,0,0,0.000,0.000,0.000
42,50140.709,0,0,0,0,0.000,0.000,0.000
43,50140.709,0,0,0,0,0.000,0.000,0.000
44,50140.709,0,0,0,0,0.000,0.000,0.000
45,50140.709,0,0,0,0,0.000,0.000,0.000
46,50140.709,0,0,0,0,0.000,0.000,0.000
47,50140.709,0,0,0,0,0.000,0.000,0.000
48,50140.709,0,0,0,0,0.000,0.000,0.000
49,50140.709,0,0,0,0,0.000,0.000,0.000
50,50140.709,0,0,0,0,0.000,0.000,0.000
51,50140.709,0,0,0,0,0.000,0.000,0.000
52,50140.709,0,0,0,0,0.000,0.000,0.000
53,50140.709,0,0,0,0,0.000,0.000,0.000
54,50140.709,0,0,0,0,0.000,0.000,0.000
55,50140.709,0,0,0,0,0.000,0.000,0.000
56,50140.709,0,0,0,0,0.000,0.000,0.000
57,50140.709,0,0,0,0,0.000,0.000,0.000
58,50140.709,0,0,0,0,0.000,0.000,0.000
59,50140.709,0,0,0,0,0.000,0.000,0.000
60,50140.709,0,0,0,0,0.000,0.000,0.000
61,50140.709,0,0,0,0,0.000,0.000,0.000
62,50140.709,0,0,0,0,0.000,0.000,0.000
63,50140.709,0,0,0,0,0.000,0.000,0.000
64,50140.709,0,0,0,0,0.000,0.000,0.000
65,50140.709,0,0,0,0,0.000,0.000,0.000
66,50140.709,0,0,0,0,0.000,0.000,0.000
67,50140.709,0,0,0,0,0.000,0.000,0.000
68,50140.709,0,0,0,0,0.000,0.000,0.000
69,50140.709,0,0,0,0,0.000,0.000,0.000
70,50140.709,0,0,0,0,0.000,0.000,0.000
71,50140.709,0,0,0,0,0.000,0.000,0.000
72,50140.709,0,0,0,0,0.000,0.000,0.000
73,50140.709,0,0,0,0,0.000,0.000,0.000
74,50140.709,0,0,0,0,0.000,0.000,0.000
75,50140.709,0,0,0,0,0.000,0.000,0.000
76,50140.709,0,0,0,0,0.000,0.000,0.000
77,50140.709,0,0,0,0,0.000,0.000,0.000
78,50140.709,0,0,0,0,0.000,0.000,0.000
79,50140.709,0,0,0,0,0.000,0.000,0.000
80,50140.709,0,0,0,0,0.000,0.000,0.000
81,50140.709,0,0,0,0,0.000,0.000,0.000
82,50140.709,0,0,0,0,0.000,0.000,0.000
83,50140.709,0,0,0,0,0.000,0.000,0.000
84,50140.709,0,0,0,0,0.000,0.000,0.000
85,50140.709,0,0,0,0,0.000,0.000,0.000
86,50140.709,0,0,0,0,0.000,0.000,0.000
87,50140.709,0,0,0,0,0.000,0.000,0.000
88,50140.709,0,0,0,0,0.000,0.000,0.000
89,50140.709,0,0,0,0,0.000,0.000,0.000
90,50140.709,0,0,0,0,0.000,0.000,0.000
91,50140.709,0,0,0,0,0.000,0.000,0.000
92,50140.709,0,0,0,0,0.000,0.000,0.000
93,50140.709,0,0,0,0,0.000,0.000,0.000
94,50140.709,0,0,0,0,0.000,0.000,0.000
95,50140.709,0,0,0,0,0.000,0.000,0.000
0,50141.189,0,0,0,0,0.000,0.000,0.000
1,50141.189,0,0,0,0,0.000,0.000,0.000
2,50141.189,0,0,0,0,0.000,0.000,0.000
3,50141.189,0,0,0,0,0.000,0.000,0.000
4,50141.189,0,0,0,0,0.000,0.000,0.000
5,50141.189,0,0,0,0,0.000,0.000,0.000
6,50141.189,0,0,0,0,0.000,0.000,0.000
7,50141.189,0,0,0,0,0.000,0.000,0.000
8,50141.189,0,0,0,0,0.000,0.000,0.000
9,50141.189,0,0,0,0,0.000,0.000,0.000
10,50141.189,0,0,0,0,0.000,0.000,0.000
11,50141.189,0,0,0,0,0.000,0.000,0.000
12,50141.189,0,0,0,0,0.000,0.000,0.000
13,50141.189,0,0,0,0,0.000,0.000,0.000
14,50141.189,0,0,0,0,0.000,0.000,0.000
15,50141.189,0,0,0,0,0.000,0.000,0.000
16,50141.189,0,0,0,0,0.000,0.000,0.000
17,50141.189,0,0,0,0,0.000,0.000,0.000
18,50141.189,0,0,0,0,0.000,0.000,0.000
19,50141.189,0,0,0,0,0.000,0.000,0.000
20,50141.189,0,0,0,0,0.000,0.000,0.000
21,50141.189,0,0,0,0,0.000,0.000,0.000
22,50141.189,0,0,0,0,0.000,0.000,0.000
23,50141.189,0,0,0,0,0.000,0.000,0.000
24,50141.189,0,0,0,0,0.000,0.000,0.000
25,50141.189,0,0,0,0,0.000,0.000,0.000
26,50141.189,0,0,0,0,0.000,0.000,0.000
27,50141.189,0,0,0,0,0.000,0.000,0.000
28,50141.189,0,0,0,0,0.000,0.000,0.000
29,50141.189,0,0,0,0,0.000,0.000,0.000
30,50141.189,0,0,0,0,0.000,0.000,0.000
31,50141.189,0,0,0,0,0.000,0.000,0.000
32,50141.189,0,0,0,0,0.000,0.000,0.000
33,50141.189,0,0,0,0,0.000,0.000,0.000
34,50141.189,0,0,0,0,0.000,0.000,0.000
35,50141.189,0,0,0,0,0.000,0.000,0.000
36,50141.189,0,0,0,0,0.000,0.000,0.000
37,50141.189,0,0,0,0,0.000,0.000,0.000
38,50141.189,0,0,0,0,0.000,0.000,0.000
39,50141.189,0,0,0,0,0.000,0.000,0.000
40,50141.189,0,0,0,0,0.000,0.000,0.000
41,50141.189,0,0,0,0,0.000,0.000,0.000
42,50141.189,0,0,0,0,0.000,0.000,0.000
43,50141.189,0,0,0,0,0.000,0.000,0.000
44,50141.189,0,0,0,0,0.000,0.000,0.000
45,50141.189,0,0,0,0,0.000,0.000,0.000
46,50141.189,0,0,0,0,0.000,0.000,0.000
47,50141.189,0,0,0,0,0.000,0.000,0.000
48,50141.189,0,0,0,0,0.000,0.000,0.000
49,50141.189,0,0,0,0,0.000,0.000,0.000
50,50141.189,0,0,0,0,0.000,0.000,0.000
51,50141.189,0,0,0,0,0.000,0.000,0.000
52,50141.189,0,0,0,0,0.000,0.000,0.000
53,50141.189,0,0,0,0,0.000,0.000,0.000
54,50141.189,0,0,0,0,0.000,0.000,0.000
55,50141.189,0,0,0,0,0.000,0.000,0.000
56,50141.189,0,0,0,0,0.000,0.000,0.000
57,50141.189,0,0,0,0,0.000,0.000,0.000
58,50141.189,0,0,0,0,0.000,0.000,0.000
59,50141.189,0,0,0,0,0.000,0.000,0.000
60,50141.189,0,0,0,0,0.000,0.000,0.000
61,50141.189,0,0,0,0,0.000,0.000,0.000
